Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
Một người như thế giống như người tránh khỏi sư tử lại gặp phải gấu, chạy thoát khỏi gấu thì bị rắn cắn.        The situation of a man doing so is like that of someone who flees from a lion only to encounter a bear and then runs away from the bear only to be bitten by a serpent.
Lịch sử chứng minh rằng Vua Hê-rốt là người vô lương tâm, xảo quyệt và đầy sát khí—đích thực là một trong những người thuộc dòng dõi của Con Rắn.        (Matthew 2:1-6, 16) History testifies that King Herod was unscrupulous, crafty, and murderous—truly one of the seed of the Serpent.
Họ đã không tránh được sự trừng phạt vì Đức Giê-hô-va sai rắn độc đến trong dân sự, và nhiều người chết vì bị rắn cắn.        Punishment was not withheld, for Jehovah sent poisonous serpents among them, and many died from serpent bites.
Khi Chúa sai “rắn lửa” đến để trừng phạt dân Y Sơ Ra Ên, tôi được truyền lệnh phải làm một con rắn bằng đồng và cột nó lên trên một cây cột để tất cả những người đã bị rắn cắn đều có thể nhìn vào nó và được chữa lành.        When the Lord sent “fiery serpents” to chastise the Israelites, I was commanded to make a serpent of brass and raise it high on a pole so that all who were bitten by the serpents could look to it and be healed.
Không phải người rắn độc, Tôi chỉ thấy những người khác,        Not serpent men, I just saw other, different ones, OK?
Khi tuyên án con rắn, Đức Chúa Trời phán: “Ta sẽ làm cho mầy cùng người nữ, dòng-dõi mầy cùng dòng-dõi người nữ nghịch-thù nhau.        Pronouncing sentence upon the serpent, God said: “I shall put enmity between you and the woman and between your seed and her seed.
Điều ấy có thể ảnh hưởng đến hạng người chồng hay người cha mà đứa con trai sẽ trở thành sau này—cứng rắn, bướng bỉnh, cộc cằn hay trái lại, thăng bằng, sáng suốt và nhân từ.        It can affect the kind of husband or father the son eventually becomes—a rigid, unreasoning, harsh one, or one who is balanced, discerning and kind.
14 Vậy nên, người đàn bà được ban cho một cặp cánh chim ưng lớn, để người có thể trốn vào đồng vắng, đến chỗ của mình, ở đó người được nuôi trong một thời gian, các thời gian và nửa thời gian, lánh mặt con rắn.        14 Therefore, to the woman were given two wings of a great eagle, that she might flee into the wilderness, into her place, where she is nourished for a time, and times, and half a time, from the face of the serpent.
Tôi nghe trong lời của ông tiếng nói của một người đã từng là người duy tâm nhưng bây giờ---sau bao nhiêu kinh nghiệm trong cuộc sống---thì dường như có một chút cứng rắn và còn mệt mỏi nữa.        I hear in his words the voice of a man who may once have been an idealist but now—after a great deal of life experience—seems a little hardened, even tired.
15 Và con rắn phun nước ở miệng nó ra như cơn lụt theo sau người đàn bà, hầu cho nó có thể khiến cho người bị cuốn theo cơn lụt ấy.        15 And the serpent casteth out of his mouth water as a flood after the woman, that he might cause her to be carried away of the flood.
16 Người viết Thi-thiên tiếp: “Ngươi sẽ bước đi trên sư-tử và rắn hổ-mang; còn sư-tử tơ và con rắn [“lớn”, “NW”], ngươi sẽ giày-đạp dưới chân”.        16 The psalmist continues: “Upon the young lion and the cobra you will tread; you will trample down the maned young lion and the big snake.”
Bây giờ, về riêng tôi, với tư cách là một chính trị gia - một người đứng trước các bạn, hay thật sự, một người từng gặp gỡ rất nhiều người không quen biết ở khắp mọi nơi trên thế giới, bất cứ khi nào tôi nói cho họ biết về tính chất công việc của mình họ đều nhìn tôi như thể tôi là một con gì đó lai giữa con rắn, khỉ và kỳ nhông        Now, as a politician myself, standing in front of you, or indeed, meeting any stranger anywhere in the world, when I eventually reveal the nature of my profession, they look at me as though I'm somewhere between a snake, a monkey and an iguana, and through all of this, I feel, strongly, that something is going wrong.
Sự khảo cứu gần đây chứng tỏ rằng rắn hổ mang có thể nghe âm thanh truyền qua không khí và chúng phản ứng theo nhạc của người dụ rắn.—Cũng xem Tỉnh Thức!        Recent research has shown that cobras can hear sounds carried in the air and that they respond to the music of the snake charmer.—See also Awake!
*+ Ông cũng đập nát con rắn bằng đồng mà Môi-se đã làm;+ vì đến tận thời đó, dân Y-sơ-ra-ên vẫn dâng khói tế lễ cho con rắn bằng đồng ấy. Người ta từng gọi nó là tượng rắn đồng.        *+ He also crushed the copper serpent that Moses had made;+ for down to that time the people of Israel had been making sacrificial smoke to it and it used to be called the copper serpent-idol.
Bây giờ, về riêng tôi, với tư cách là một chính trị gia - một người đứng trước các bạn, hay thật sự, một người từng gặp gỡ rất nhiều người không quen biết ở khắp mọi nơi trên thế giới, bất cứ khi nào tôi nói cho họ biết về tính chất công việc của mình họ đều nhìn tôi như thể tôi là một con gì đó lai giữa con rắn, khỉ và kỳ nhông Sau tất cả những phản ứng của họ, tôi thấy rằng, thật sự, có điều gì đó không ổn.        Now, as a politician myself, standing in front of you, or indeed, meeting any stranger anywhere in the world, when I eventually reveal the nature of my profession, they look at me as though I'm somewhere between a snake, a monkey and an iguana, and through all of this, I feel, strongly, that something is going wrong.
Vì trước kia là một người Pha-ri-si, Phao-lô biết rõ là những luật lệ cứng rắn mà những người có uy quyền đặt ra và ép buộc người ta phải theo sẽ bóp nghẹt niềm vui, trong khi lời đề nghị hữu ích của những người bạn cùng làm việc sẽ gia tăng niềm vui đó.        (2 Corinthians 1:24) As a former Pharisee, Paul well knew that rigid rules laid down and imposed by those in authority stifle joy, whereas helpful suggestions offered by fellow workers increase it.
Khi dân Y-sơ-ra-ên than phiền về ma-na, đồ ăn đã được cung cấp bằng phép lạ trong 40 năm họ đi vất vả trong đồng vắng, và gọi bánh ấy là “thứ đồ-ăn đạm-bạc”, Đức Giê-hô-va đã sai rắn độc để phạt những người than phiền bất kính, và rất nhiều người đã bị chết (Dân-số Ký 21:5, 6).        When the nation of Israel complained about the miraculous manna provided during their 40-year wilderness trek, calling it “contemptible bread,” Jehovah sent poisonous serpents to punish the disrespectful complainers, and many died.—Numbers 21:5, 6.
Thiên sứ này đã cám dỗ Ê-va cãi lời Đức Chúa Trời Toàn năng bằng cách dùng một con rắn để nói, giống như một người có tài nói bằng bụng dùng hình nộm khiến người ta tưởng là hình nộm biết nói.        Speaking through a serpent, much as a ventriloquist speaks through a dummy, this angel induced Eve to disobey Almighty God.
Rắn thường nhìn chăm chú khi sợ hãi, vì vậy khi gặp rắn người ta có ấn tượng là rắn có cái nhìn chăm chú đầy thôi miên.        The snake will usually stare fixedly when afraid, so the impression given to humans when they encounter a snake is of a fixed, hypnotic type of stare.
4 Nhưng chuyện rằng, họ không làm như vậy mà lại bắt hai người trói lại bằng dây thừng rắn chắc, rồi dẫn hai người đến trước mặt vị trưởng phán quan trong xứ.        4 But it came to pass that they did not; but they took them and bound them with strong cords, and took them before the chief judge of the land.
* Xem thêm An Pha và Ô Mê Ga; Ánh Sáng, Ánh Sáng của Đấng Ky Tô; Ân Điển; Bài Giảng Trên Núi; Ban Đầu; Bánh Sự Sống; Bất Tận; Biến Hình—Sự biến hình của Đấng Ky Tô; Chăn Hiền Lành, Người; Chàng Rể; Chiên Con của Thượng Đế; Chúa; Chuộc Tội; Con của Người; Con Đầu Lòng; Con Rắn Bằng Đồng; Cứu Chuộc; Đá; Đá Góc Nhà; Đấng An Ủi; Đấng Biện Hộ; Đấng Chịu Xức Dầu; Đấng Cứu Chuộc; Đấng Cứu Rỗi; Đấng Giải Cứu; Đấng Mê Si; Đấng Trung Gian, Đấng Trung Bảo; Đóng Đinh Trên Thập Tự Giá, Sự; Đức Tin; Đường Lối; Em Ma Nu Ên; Giê Hô Va; Gô Gô Tha; Hối Cải; Hy Sinh; Kế Hoạch Cứu Chuộc; Lương Tâm; Ma Ri, Mẹ của Chúa Giê Su; Máu; Nước Sống; Phúc Âm, Các Sách; Phục Sinh; Sa Ngã của A Đam và Ê Va, Sự; Sáng Tạo; Sinh; Ta Là Đấng Hằng Hữu; Tái Lâm của Chúa Giê Su Ky Tô, Sự; Thăng Thiên; Thập Tự Giá; Thượng Đế, Thiên Chủ Đoàn; Tiệc Thánh; Xá Miễn Tội Lỗi        * See also Advocate; Alpha and Omega; Anointed One; Ascension; Atone, Atonement; Beginning; Begotten; Blood; Bread of Life; Bridegroom; Comforter; Conscience; Cornerstone; Create, Creation; Cross; Crucifixion; Deliverer; Endless; Faith; Fall of Adam and Eve; Firstborn; God, Godhead; Golgotha; Good Shepherd; Gospels; Grace; I Am; Immanuel; Jehovah; Lamb of God; Light, Light of Christ; Living Water; Lord; Mary, Mother of Jesus; Mediator; Messiah; Plan of Redemption; Redeem, Redeemed, Redemption; Redeemer; Remission of Sins; Repent, Repentance; Resurrection; Rock; Sacrament; Sacrifice; Savior; Second Coming of Jesus Christ; Sermon on the Mount; Serpent, Brazen; Son of Man; Transfiguration—Transfiguration of Christ; Way
Đó là Sa-tan Ma-quỉ, kẻ đã từng gạt gẫm con người qua bao thế kỷ sau khi đã gạt hai người đầu tiên bằng cách núp sau một con rắn, bởi thế mà nhân loại đã rơi vào hố sâu tội lỗi (Sáng-thế Ký 3:1-7).        3:1-7) Since then, the Devil has used a variety of individuals and organizations, including the worldwide false religious empire Babylon the Great.
8 Sự tường thuật về vợ người đàn ông ghi nhận rằng lời tuyên bố của bà liên quan đến con rắn là sự kiện có thật: “Ngài phán cùng người nữ rằng: Ta sẽ thêm điều cực-khổ bội phần trong cơn thai-nghén; ngươi sẽ chịu đau-đớn mỗi khi sanh con; sự dục-vọng ngươi phải xu-hướng về chồng, và chồng sẽ cai-trị ngươi” (Sáng-thế Ký 3:16).        8 Treating the woman’s statement that involved the serpent as being a fact, the record concerning the man’s wife says: “To the woman he said: ‘I shall greatly increase the pain of your pregnancy; in birth pangs you will bring forth children, and your craving will be for your husband, and he will dominate you.’”
Rắn bèn nói với người nữ: ‘Các người sẽ không chết đâu.        At this the serpent said to the woman: ‘You certainly will not die.
Như được đề cập nơi Sáng-thế Ký 3:15, hãy nhận diện a) Con Rắn, b) “người nữ”, c) “dòng-dõi” Con Rắn, d) “dòng-dõi” người nữ.        As referred to at Genesis 3:15, identify (a) the Serpent, (b) “the woman,” (c) the Serpent’s “seed,” (d) the woman’s “seed.”
“Loài bò sát” (NW) mà Gia-cơ nói đến có thể bao gồm con rắn bị người dụ rắn điều khiển (Thi-thiên 58:4, 5).        The ‘creeping things’ James mentions may include serpents controlled by snake charmers.
Đức Giê-hô-va phán với con rắn: “Ta sẽ làm cho mầy cùng người nữ, dòng-dõi mầy cùng dòng-dõi người nữ nghịch-thù nhau.        Jehovah said to the serpent: “I shall put enmity between you and the woman and between your seed and her seed.
Mặc dù nhiều người có ý kiến cứng rắn về cuốn sách thánh đó, nhưng ít người đích thân xem xét Kinh Thánh.        Although many express strong opinions regarding that sacred book, few have ever examined it for themselves.
(Sáng-thế Ký 4:4) Cũng có thể là ông đã suy ngẫm về những lời mà Đức Giê-hô-va đã phán cùng con rắn nơi vườn Ê-đen: “Ta sẽ làm cho mầy cùng người nữ, dòng-dõi mầy cùng dòng-dõi người nữ nghịch-thù nhau.        (Genesis 4:4) It is also possible that he meditated on Jehovah’s words to the serpent in the garden of Eden: “I shall put enmity between you and the woman and between your seed and her seed.
Giê-su đã thẳng thắn tuyên bố rằng họ là thành phần của dòng dõi Con Rắn, ngài nói như sau: “Hỡi loài rắn, dòng-dõi rắn lục kia, thế nào mà tránh khỏi sự đoán-phạt nơi địa-ngục được?”        Jesus pointedly declared that they were part of the seed of the Serpent, saying: “Serpents, offspring of vipers, how are you to flee from the judgment of Gehenna?”
Nhưng có kẻ nấp sau con rắn, dùng xảo thuật có thể được gọi là thuật nói từ trong bụng để cho người ta có cảm tưởng là chính con rắn nói.        But there must have been someone behind the serpent, someone who, by what might be called ventriloquism, made it appear that the serpent was talking.
Có những người cần sự sửa trị cứng rắn gì, và người không hối cải qua nhiều lần sửa trị sẽ chịu hậu quả gì?        What more drastic measures are needed for some, and what is the outcome for those who reject repeated reproofs?
Tôi là một người phụ nữ cứng rắn tham gia vào Lực lượng Cảnh sát Ấn Độ, một người phụ nữ có sức chịu đựng tốt, vì trước đây tôi đã quen với các giải đấu quần vợt, v.v.        I joined the Indian Police Service as a tough woman, a woman with indefatigable stamina, because I used to run for my tennis titles, etc.
Đọc An Ma 33:19–20, và nhận ra điều đã xảy ra cho dân Y Sơ Ra Ên là những người đã chọn nhìn vào con rắn bằng đồng khi họ bị cắn và điều gì đã xảy ra cho những người đã chọn không nhìn.        Read Alma 33:19–20, and identify what happened to the Israelites who chose to look at the brass serpent when they were bitten and what happened to those who chose not to look.
Dù con rắn tỏ vẻ như một người bạn, Sa-tan thực chất là một kẻ thù tàn nhẫn. Hắn biết rõ lời xúi giục Ê-va sẽ dẫn đến hậu quả chết người.        Though the serpent might have seemed to be a friend, Satan the Devil was in reality a cruel enemy who knew the fatal consequences of his suggestion to Eve.
Lời tường thuật cho biết: “Nếu người nào đã bị rắn cắn mà nhìn con rắn bằng đồng, thì được sống”.—Dân-số Ký 21:4-10; 33:43.        The record states: “It did occur that if a serpent had bitten a man and he gazed at the copper serpent, he then kept alive.” —Numbers 21:4-10; 33:43.
12 Vài người có thái độ hay chỉ trích chủ trương rằng tổ chức của Đức Giê-hô-va quá cứng rắn về việc đoạn giao với những người đã bị khai trừ (II Giăng 10, 11).        12 Some who have a critical attitude claim that Jehovah’s organization is too strict about cutting off social contacts with disfellowshipped persons.
Họ chính là những loài rắn, dòng dõi rắn lục, đáng bị vào địa ngục [Ghê-hen-na], vì họ sẽ giết không chỉ một mình Giê-su mà còn cả những người ngài sai đi nữa.        Serpents, offspring of vipers they are, doomed to Gehenna, for they will kill not only Jesus but also those whom he sends forth.
“Dòng-dõi” Con Rắn là dòng dõi Sa-tan, con cái của hắn—các quỉ và người ta cũng như các tổ chức của loài người phản ảnh tâm tính của Sa-tan và tỏ ra nghịch thù với “dòng-dõi” người nữ (Giăng 15:19; 17:15).        (Galatians 4:26) The Serpent’s “seed,” is Satan’s seed, his offspring—demons and humans as well as human organizations that manifest the traits of Satan and that show enmity toward the “seed” of the woman.
Dựa theo cách Ma-quỉ dùng con rắn trong vườn Ê-đen, ta có thể nhận định rằng khi lời tiên tri nói về việc «giày đạp đầu con rắn» điều này có nghĩa là sau rốt đứa con phản nghịch ấy của Đức Chúa Trời, đã vu khống Đức Giê-hô-va và đem lại khổ ải cho loài người, sẽ bị hủy diệt.        In view of the way the serpent was used by the Devil in Eden, it could be discerned from the prophecy that the ‘bruising of the serpent in the head’ referred to eventual destruction of this rebel son of God who had slandered Jehovah and brought great grief to mankind.
(Châm-ngôn 15:30, 31; 20:5; 21:28). Người chồng hay người vợ mà thành thật lắng nghe các ý tưởng và tình cảm của người hôn phối mình thì chắc sẽ không hành động một cách ích kỷ hoặc quá cứng rắn.        (Proverbs 15:30, 31; 20:5; 21:28) A husband or a wife who sincerely listens to the thoughts and feelings of the other person will be less likely to act in a selfish or inflexible way.
“Ta sẽ làm cho mầy [con rắn] cùng người nữ, dòng-dõi mầy cùng dòng-dõi người nữ nghịch-thù nhau.        “I shall put enmity between you [the serpent] and the woman and between your seed and her seed.
Mỗi một người này bằng mười người lính, và kết hợp với nhau họ là một khối rắn như thép.        Each of these guys is worth 10 soldiers, and together they are a single whole.
“Rắn... hỏi người nữ: ‘Có thật Đức Chúa Trời phán rằng các người không được phép ăn mọi cây trong vườn không?’.        “The serpent . . . said to the woman: ‘Did God really say that you must not eat from every tree of the garden?’
Đó là một câu chuyện đơn giản mà bạn kể: "Chúng ta cần trở nên cứng rắn, chúng ta đã cần trở nên cứng rắn, chúng ta sẽ phải cứng rắn."        It's a simple story you tell: "We need to get tough, we needed to get tough, we will have to get tough."
Đức Giê-hô-va ban phước cho lập trường cứng rắn này và làm xiêu lòng người làm đầu hoạn quan người Ba-by-lôn (Đa-ni-ên 1:9, 14-16).        (Daniel 1:8, 11-13) Jehovah blessed this firm stand and softened the heart of the Babylonian official in charge.
Tất nhiên con rắn cho phép bạn đi thẳng quá, vì vậy bạn có thể làm một phiên bản của điều này cho phép đi thẳng và ghi nốt như thế này và tự hỏi không biết con rắn này là một con rắn kẻ thua cuộc hay không.        Of course snake lets you go straight too, so you can do another version of this that allows going straight and notate it like this and wonder whether this snake is a loser snake or not.
Kinh Thánh kể lại rằng một tạo vật thần linh vô hình đã sử dụng một con rắn, giống như một người có tài nói trong bụng dùng con rối, để bắt chuyện với người đàn bà đầu tiên, Ê-va, và xúi giục bà phản nghịch lại Đức Chúa Trời.        The Bible relates that an invisible spirit person used a serpent, much as a ventriloquist uses a dummy, to communicate with the first woman, Eve, and led her to rebel against God.
Và nó không giống sự sợ hãi đối với nữ thần Ấn Độ Kali, đôi khi được tả là khát máu, dùng thây người chết, rắn rít và sọ người làm đồ trang sức.        And it is not like the fear associated with the Hindu goddess Kali, who at times is depicted as bloodthirsty, using corpses, snakes, and skulls as ornaments.
4 Rắn bèn nói với người nữ: “Các người sẽ không chết đâu.        4 At this the serpent said to the woman: “You certainly will not die.
9 Môi-se liền làm một con rắn bằng đồng+ treo lên cây cột;+ khi một người bị rắn cắn và nhìn con rắn bằng đồng thì được sống sót.        9 Moses at once made a serpent of copper+ and put it on the pole,+ and whenever a serpent had bitten a man and he looked at the copper serpent, he survived.
Và như Đức Chúa Trời hằng sống, là Đấng đã ađem Y Sơ Ra Ên ra khỏi xứ Ai Cập, và đã ban quyền năng cho Môi Se để ông bchữa lành các dân khi họ bị rắn độc cắn, nếu họ chịu ngước mắt lên nhìn ccon rắn mà ông đã treo lên trước mắt họ, và Ngài còn ban cho ông quyền năng khiến ông có thể đánh vào dđá làm cho nước trào ra; phải, này, tôi nói cho các người hay rằng, như những việc này đều có thật, và như Đức Chúa Trời hằng sống, thì không còn một edanh hiệu nào khác được ban ra dưới gầm trời này ngoài danh hiệu Chúa Giê Su Ky Tô này mà tôi đã nói đến, tức là danh hiệu mà nhờ đó loài người mới có thể được cứu.        And as the Lord God liveth that abrought Israel up out of the land of Egypt, and gave unto Moses power that he should bheal the nations after they had been bitten by the poisonous serpents, if they would cast their eyes unto the cserpent which he did raise up before them, and also gave him power that he should smite the drock and the water should come forth; yea, behold I say unto you, that as these things are etrue, and as the Lord God liveth, there is none other fname given under heaven save it be this Jesus Christ, of which I have spoken, whereby man can be saved.
Ca-in và A-bên hẳn đã biết được lời Đức Giê-hô-va nói với con rắn: “Ta sẽ làm cho mầy cùng người nữ, dòng-dõi mầy cùng dòng-dõi người nữ nghịch-thù nhau.        Cain and Abel must have been aware of Jehovah’s words to the serpent: “I shall put enmity between you and the woman and between your seed and her seed.
Và trong khoảng 10 năm sau khi công trình được công bố, một người tên là Ed Witten ở Princeton bắt đầu áp dụng nó vào lí thuyết dây và những người ở Nga bắt đầu áp dụng nó vào một thứ tên là" chất rắn."        And about 10 years after the paper came out, a guy named Ed Witten in Princeton started applying it to string theory and people in Russia started applying it to what's called "condensed matter."
3. (a) Trong lời tiên tri nơi Sáng-thế Ký 3:15, con rắn, “người nữ” và ‘dòng-dõi con rắn’ tượng trưng cho những ai?        3. (a) In the prophecy at Genesis 3:15, who is represented by the serpent, “the woman,” and the ‘seed of the serpent’?
Đối tượng được nhắc đến nơi Sáng-thế Ký 3:15 là Con Rắn—không phải con rắn hèn mọn, mà là tạo vật đã dùng con rắn (Khải-huyền 12:9).        The one addressed at Genesis 3:15 is the Serpent—not the lowly snake but the one who used it.
Trước đám người hung hăng, A-mốt cứng rắn lên án họ, kể cả thầy tế lễ A-ma-xia, người đã ngạo mạn bảo A-mốt rằng: “Hãy trốn trong đất Giu-đa”.        Amos firmly denounced his hostile audience, including the priest Amaziah, who haughtily told Amos to ‘run his way off to the land of Judah.’
Những người đại diện của giới truyền thông, thường là một nhóm người khó chịu và cứng rắn, với một vài ngoại lệ, đã nói lên và viết xuống những lời khen ngợi lẫn sự mô tả chính xác về văn hóa độc đáo mà họ đã tìm thấy nơi đây, về những người mà họ gặp gỡ và tiếp xúc, về tinh thần hiếu khách mà họ cảm nhận được.        Representatives of the media, so often a tough and calloused group, with very few exceptions spoke and wrote in language both complimentary and accurately descriptive of a unique culture they found here, of the people they met and dealt with, of the spirit of hospitality which they felt.
Để xác nhận rằng chữ ký của APK sẽ được xác minh thành công trên tất cả các phiên bản của nền tảng Android mà APK đó hỗ trợ, bạn có thể sử dụng công cụ apksigner (có sẵn trong bản sửa đổi 24.0.3 trở lên của Công cụ tạo SDK Android) qua cú pháp sau:        To confirm that an APK's signature will be verified successfully on all versions of the Android platform supported by the APK, you can use the apksigner tool (available in revision 24.0.3 and higher of the Android SDK Build Tools) with the following syntax:
Tựa phim " High Kick ! " có nhiều hàm ý , một trong đó là sự miêu tả cú đá cao của ho , một trong các nhân vật chính .        The title of the show " High Kick ! " has several implications , one of which is the depicted high kicks of ho , one of the main characters .
Cú này cho việc mày cho cả một tòa nhà đè vào tao.        This is for dropping a building on my face.
Cú đó là vì sao?        What was that for?
Cẩn thận khi làm bản sao trang cuối chương Cú Đánh Tiêu Diệt, nhé?        Be very careful when you copy the last page on the Exterminating Blow, would you?
Và rất thú vị là, trong khi nghe những âm thanh đó, tôi hiểu ra cách mà sinh vật này phát ra những cú đánh siêu tốc.        And I started to think, well, maybe it will be interesting, while listening to their sounds, to figure out how these animals generate very fast feeding strikes.
Tuyệt cú mèo.        Best I've ever seen.
Tuy nhiên đó chỉ là một cú lừa thôi        Everyone thought Ali' s arms had run out, that he' s on empty, but he' s just setting Foreman up
Chính quy hơn hãy thử diễn đạt bằng phương trình, dạng cú pháp giống Tiếng Anh nhưng là ngôn ngữ lập trình.        In fact, let's try to express it a bit more formally in pseudocode, English- like syntax that resembles a programming language.
Đó là một cuộc khảo sát trong 150, 000 phụ nữ ở California, và họ sẽ trả lại tất cả dữ liệu cho người tham gia khảo sát dưới dạng toán học, chỉ cần một cú đúp chuột để xem cuộc khảo sát mà chúng tôi đã thực hiện cùng chúng.        It's a study of 150, 000 women in California, and they're going to return all the data to the participants of the study in a computable form, with one- clickability to load it into the study that I've put together.
Anh họ cậu phang 1 cú mạnh vào mặt cậu bằng ku anh ấy.        Your cousin whacked you in the face with his wang.
Cú đánh của Mr Go đạt vận tốc 158kmh        He smashed Moon's 158 km / h pitch!
Micky Ward tung một cú móc trái vào phía trên.        My, is it tough for Micky Ward.
Cú này cho món khai vị thế nào?        How's that for an appetizer?
Tôi có thể chấm dứt sự nghiệp của cậu bằng một cú điện.        I could finish your career with one phone call.
Mặc dù không phải bất kỳ người nào cũng ngủ ngon hơn khi sử dụng mê - la-tô-nin , nhưng nó có thể là bài thuốc trị mất ngủ hiệu quả đối với bạn – nhất là khi bạn bị mất ngủ trầm trọng " mắt mở thao láo như con cú đêm " có xu hướng đi ngủ và thức dậy muộn hơn những người khác .        While melatonin does n't work for everyone , it may be an effective insomnia treatment for you-especially if you 're an extreme " night owl " with a tendency to go to bed and get up much later than others .
Và vì vậy nó là một cú sốc lớn với tất cả chúng tôi khi bộ phim thực sự đã thu hút được công chúng, và hôm nay được đưa vào chương trình xem phim bắt buộc ở Anh và Scotland, và hầu hết Scandinavia.        And so it was a great shock to all of us when the film really captured the public interest, and today is mandatory viewing in schools in England and Scotland, and most of Scandinavia.
Tiếp theo là cú " Đập Búa ".        Here comes the sledgehammer.
Mà nếu chủ nhân đặt rồi thì cú gọi vậy đi        You're very good looking. Let's take a look at your eyes.
Mọi cú điện thoại hắn gọi đều là điện thoại đường dài, đúng không?        All the telephone calls he made were long distance, alright?
Tình hình nợ công vẫn ở mức ổn định cho dù dễ bị ảnh hưởng bởi những cú sốc mang tính hệ thống.        The public debt situation remains sustainable nonetheless, albeit susceptible to systemic shocks.
Nhưng chắc cổ đã hồi phục sau cú sốc đêm hôm đó, Bởi vì cổ đã tìm được một việc làm mới.        But she must have recovered from the shock that night, because she has found a new job
Họ đang cố làm đối thủ bị thương với từng cú đấm.        They are trying to hurt each other with only punches.
Cú đó là vì New York.        That was for New York.
Cháu nói có người làm vỡ bức tượng cú của cháu.        You said somebody broke your owl statue.
Tôi tới từ một thành phố nhỏ, cho nên đột nhiên từ một chỗ nhỏ vào trong một chỗ quốc tế, nó là cú nhảy lớn với tôi.        I come from a small town, so suddenly to come from a small place into an international place, it was a big jump for me.
Có thấy cú đó không?        Did you see that?
Để kết thúc, tôi muốn kể tôi đã vấp phải cú sốc tồi tệ nhất thế nào, một cú sốc ảnh hưởng to lớn tới tôi.        To end, I want to tell you how I hit the worst bump in the road yet, one that shook me to my very core.
Google hỗ trợ cú pháp sơ đồ trang web mở rộng cho các loại phương tiện truyền thông sau.        Google supports extended sitemap syntax for the following media types.
Tô sáng cú pháp        Syntax Highlighting
Tôi không nghĩ thế Anh đã đánh cậu ta 1 cú khá mạnh.        I don't think I hit him hard enough.
" Cú đúp xui xẻo "        " Double whammy "
Có thể tôi xứng đáng cú đó.        I may have deserved that.
Hai loại thuốc này, tiêm vào chưa đầy hai phút sau khi anh chết, kèm theo cú đánh đột ngột từ nắm đấm của tôi vô ngực anh, sẽ khởi động lại trái tim.        These two drugs administered within two minutes after your death, along with a sharp blow to your chest with my fist, will restart the heart.
Nếu bạn nhìn gợi ý cho câu 1 - ngang, bắt đầu với chữ C của từ Corrupt và ngay dưới đó là O cho từ Outfielder, và nếu tiếp tục nhìn dọc xuống chữ cái đầu tiên, bạn sẽ thấy con ngựa màu coban, cú màu hổ phách, trâu xám, lừa đỏ, và con gà màu lục bảo.        If you look at the first clue for 1-across, it starts with the letter C, for corrupt, and just below that we have an O, for outfielder, and if you keep reading the first letters of the clues down, you get cobalt horse, amber owl, silver ox, red donkey, and emerald rooster.
Có một thứ được gọi là cú trượt đỉnh cao.        There's something called a Primo slide.
Với phong cách và mấy cú lộn vòng.        With his stylish swoops And his triple flips
À, nếu các người có đi ngang lần nữa, cú việc ghé vô.        Well, if you're dropping by again, do pop in.
Có nghĩa là, nếu bạn nhảy bungee lần đầu tiên, cú nhảy đến đáy của bạn có vẻ như dài 10 giây, nhưng thực tế thời gian đo được cú nhảy chỉ kéo dài 5 giây.        Meaning, if you bungee jump for the first time, your fall to the bottom may seem like it lasted for 10 seconds while the recorded time may actually show that the jump only lasted for 5.
Loại biến này cho phép bạn phân tích cú pháp và hiển thị thành phần URL.        This type of variable allows you to parse and expose URL components.
Việc này cần cú sốc mới!        This thing needs new shocks!
Ulf mê diễn kịch câm, còn bánh nướng của Attila thì tuyệt cú mèo!        * Ulf is into mime, Attila's cupcakes are sublime. *
Nhưng bất hạnh thay, những sự kiện hậu cách mạng như một cú hích thẳng vào bụng.        But unfortunately, the post-revolution events were like a punch in the gut.
Nhiều người nhìn cuộc bầu cử như một cú chọt quyết định ngay mắt những người tin vào điều đó.        And many view the election as the ultimate poke in the eye to anyone who believes in that.
Chắc vẫn còn cú vì trận đòn hôm qua đấy.        Must still be mad about the beating you gave him.
21 Nhưng adã thú của sa mạc sẽ nằm ở đó; và nhà của họ sẽ đầy những chim cú; chim đà sẽ ở đó, và bcác dê đực sẽ nhảy nhót tại đó.        21 But awild beasts of the desert shall lie there; and their houses shall be full of doleful creatures; and owls shall dwell there, and satyrs shall dance there.
Thêm một cú phải.        Another right.
Đó thực sự là một cú sốc với tôi, Và nó cho thấy rằng những người như tôi những người cho rằng mình là hoà nhập, cởi mở và khoan dung, có thể chúng tôi không biết xã hội và đất nước mình gần như đã trở thành những gì mà chúng tôi tin tưởng.        It was a real shock to me, and it suggested that people like me who think of ourselves as inclusive, open and tolerant, perhaps don't know our own countries and societies nearly as well as we like to believe.
Chỉ chệch một cú, cậu có thể sống phần đời còn lại của mình mà không giữ nổi nước dãi trong mồm đâu.        One slip, you could spend the rest of your life not being able to keep your drool in your mouth.
Dì có thấy cú đó không?        Did you see that?
Ai đã đánh cú đó?        Who struck that blow'?
Mỗi cú bật ở đây là một nguyên tử độc lập.        Each bump here is an individual atom.
Cú sốc đầu tiên đau như trời giáng.        The first shock hurts like hell.
